40.7460,-73.9931,4,newyork,New York
40.7465,-73.9931,4,newyork,New York
40.7470,-73.9931,4,newyork,New York
40.7475,-73.9932,4,newyork,New York
40.7480,-73.9930,4,newyork,New York
40.7485,-73.9932,4,newyork,New York
40.7490,-73.9930,4,newyork,New York
40.7495,-73.9932,4,newyork,New York
40.744,-73.993,3,newyork,New York
40.745,-73.993,3,newyork,New York
40.746,-73.993,3,newyork,New York
40.747,-73.993,3,newyork,New York
40.74,-73.99,2,newyork,New York
40.75,-73.99,2,newyork,New York
40.76,-73.99,2,newyork,New York
35.6713,139.7663,4,tokyo,Tokyo
35.6718,139.7663,4,tokyo,Tokyo
35.6723,139.7663,4,tokyo,Tokyo
35.6728,139.7663,4,tokyo,Tokyo
35.6733,139.7663,4,tokyo,Tokyo
22.3321,114.1642,4,hongkong,Hong Kong
22.3326,114.1642,4,hongkong,Hong Kong
22.3331,114.1642,4,hongkong,Hong Kong
22.3336,114.1642,4,hongkong,Hong Kong
37.5732,126.9694,4,seoul,Seoul
37.5737,126.9694,4,seoul,Seoul
37.5742,126.9694,4,seoul,Seoul
37.5747,126.9694,4,seoul,Seoul
37.5752,126.9694,4,seoul,Seoul
,,,,
40.7455,-73.9930,4,newyork,New York
40.7454,-73.9931,4,newyork,New York
40.7455,-73.9931,4,newyork,New York
40.7456,-73.9931,4,newyork,New York
40.7455,-73.9932,4,newyork,New York
40.7454,-73.9930,4,newyork,New York
40.7454,-73.9932,4,newyork,New York
40.7456,-73.9930,4,newyork,New York
40.7456,-73.9932,4,newyork,New York